country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB",16-06-2026 12:00,25.14389,75.821256,PM10,83,126,112
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB",16-06-2026 12:00,27.213494,73.734444,SO2,2,5,3
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",16-06-2026 12:00,24.041198,74.780702,PM2.5,15,52,35
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",16-06-2026 12:00,24.041198,74.780702,CO,14,23,16
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB",16-06-2026 12:00,25.03636,73.883502,PM10,30,91,50
India,Rajasthan,Sawai Madhopur,"Sahu Nagar, Sawai Madhopur - RSPCB",16-06-2026 12:00,26.031443,76.359327,OZONE,20,171,59
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB",16-06-2026 12:00,27.608912,75.153302,SO2,4,5,4
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB",16-06-2026 12:00,27.608912,75.153302,OZONE,33,91,59
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",16-06-2026 12:00,24.885261,72.857549,SO2,3,6,4
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",16-06-2026 12:00,17.5316895,78.218939,PM2.5,37,83,60
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",16-06-2026 12:00,17.5316895,78.218939,NO2,4,51,26
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",16-06-2026 12:00,17.5316895,78.218939,CO,4,22,14
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB",16-06-2026 12:00,17.585705,78.126199,CO,16,35,20
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",16-06-2026 12:00,17.544899,78.486949,NH3,NA,NA,NA
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",16-06-2026 12:00,17.544899,78.486949,CO,12,20,12
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",16-06-2026 12:00,17.429398,78.569354,NH3,5,7,6
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",16-06-2026 12:00,17.528544,78.286195,OZONE,22,42,28
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",16-06-2026 12:00,17.4559458,78.4332152,NO2,NA,NA,NA
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",16-06-2026 12:00,17.417094,78.457437,PM2.5,18,120,51
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",16-06-2026 12:00,17.349694,78.451437,PM2.5,30,62,45
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",16-06-2026 12:00,17.349694,78.451437,NH3,2,3,2
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",16-06-2026 12:00,17.349694,78.451437,OZONE,21,26,24
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",16-06-2026 12:00,23.8175497,91.2726974,NO2,16,20,18
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",16-06-2026 12:00,23.8175497,91.2726974,SO2,6,7,7
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",16-06-2026 12:00,30.9028,75.8086,NH3,12,13,12
India,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",16-06-2026 12:00,30.649961,76.331442,PM10,171,197,176
India,Punjab,Patiala,"Model Town, Patiala - PPCB",16-06-2026 12:00,30.349388,76.366642,PM10,56,167,82
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements",16-06-2026 12:00,31.0325454,76.5623046,NO2,10,47,27
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",16-06-2026 12:00,26.470859,74.646594,PM2.5,44,90,66
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",16-06-2026 12:00,26.470859,74.646594,NH3,6,8,7
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",16-06-2026 12:00,26.470859,74.646594,CO,10,42,21
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB",16-06-2026 12:00,27.554793,76.611536,NH3,8,15,10
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB",16-06-2026 12:00,23.55519,74.44001,NO2,18,39,27
